t_s,dist_m,epoch_iso,lon,lat,sv,constellation,az,el,range_m,status,block_kind
78,650.0,2026-05-09T10:01:18+00:00,11.329241465308087,44.492225604517735,G08,GPS,269.4653089675285,77.95222186869944,20298087.159,LOS,
78,650.0,2026-05-09T10:01:18+00:00,11.329241465308087,44.492225604517735,G10,GPS,53.71328542586099,53.231202671396424,21453114.373,LOS,
78,650.0,2026-05-09T10:01:18+00:00,11.329241465308087,44.492225604517735,G16,GPS,186.7204036590366,12.186334296408557,24812251.069,NLOS,building
78,650.0,2026-05-09T10:01:18+00:00,11.329241465308087,44.492225604517735,G23,GPS,45.41917022176443,17.83760015515291,23932285.251,NLOS,building
78,650.0,2026-05-09T10:01:18+00:00,11.329241465308087,44.492225604517735,G27,GPS,145.53434691008187,60.114361244174965,20889159.621,LOS,
78,650.0,2026-05-09T10:01:18+00:00,11.329241465308087,44.492225604517735,G32,GPS,120.57228706042372,29.40160013885538,22991511.767,LOS,
78,650.0,2026-05-09T10:01:18+00:00,11.329241465308087,44.492225604517735,E13,Galileo,235.60178483294425,12.674996277132893,27525004.085,NLOS,building
78,650.0,2026-05-09T10:01:18+00:00,11.329241465308087,44.492225604517735,E15,Galileo,242.66014235929384,65.51261469481534,23678570.072,VEG,vegetation
78,650.0,2026-05-09T10:01:18+00:00,11.329241465308087,44.492225604517735,E21,Galileo,318.5863814974498,12.311928607327346,27595665.829,NLOS,building
78,650.0,2026-05-09T10:01:18+00:00,11.329241465308087,44.492225604517735,E27,Galileo,288.1752780891115,59.790128831362395,23927925.001,VEG,vegetation
78,650.0,2026-05-09T10:01:18+00:00,11.329241465308087,44.492225604517735,E30,Galileo,175.40475357134005,54.22892861975537,24190046.006,LOS,
78,650.0,2026-05-09T10:01:18+00:00,11.329241465308087,44.492225604517735,E34,Galileo,48.056263555394764,57.6175457442613,24026152.188,LOS,
79,658.333,2026-05-09T10:01:19+00:00,11.329217161703241,44.492298515018526,G01,GPS,271.099080626793,25.15559849864859,23174878.358,VEG,vegetation
79,658.333,2026-05-09T10:01:19+00:00,11.329217161703241,44.492298515018526,G02,GPS,290.8647378228642,52.75575389572403,21340593.177,LOS,
79,658.333,2026-05-09T10:01:19+00:00,11.329217161703241,44.492298515018526,G08,GPS,269.4308075041889,77.95605573350825,20298062.164,LOS,
79,658.333,2026-05-09T10:01:19+00:00,11.329217161703241,44.492298515018526,G10,GPS,53.70853102550137,53.22443236065576,21453460.73,NLOS,building
